Name,URL,Ingredients,Description,Instruction,Image URL
"Хот-дог ""Новогодний""",https://www.povarenok.ru/recipes/show/182167/,,,,https://www.povarenok.ru/data/cache/2024dec/29/52/3156496_67114-710x550x.jpg
"Праздничный завтрак с ветчиной ""Рождественская Ёлка""",https://www.povarenok.ru/recipes/show/182161/,,,,https://www.povarenok.ru/data/cache/2024dec/26/44/3155979_23047-710x550x.jpg
Салат с ветчиной и пекинской капустой,https://www.povarenok.ru/recipes/show/182191/,,,,https://www.povarenok.ru/data/cache/2025jan/02/11/3157030_99365-710x550x.jpg
Фадж со сгущенкой и орехами,https://www.povarenok.ru/recipes/show/182157/,,,,https://www.povarenok.ru/data/cache/2019dec/15/36/2633520_82930-710x550x.jpg
Ленивый ужин из филе минтая,https://www.povarenok.ru/recipes/show/182288/,,,,https://www.povarenok.ru/data/cache/2025jan/18/47/3160274_42049-710x550x.jpg
Шарики из индейки в томатном соусе,https://www.povarenok.ru/recipes/show/182278/,,,,https://www.povarenok.ru/data/cache/2025jan/16/47/3159811_93690-710x550x.jpg
"Пирог ""Мандариновый""",https://www.povarenok.ru/recipes/show/182282/,,,,https://www.povarenok.ru/data/cache/2025jan/17/46/3160051_50941-710x550x.jpg
Шашлык из мяса индейки в аэрогриле,https://www.povarenok.ru/recipes/show/182203/,,,,https://www.povarenok.ru/data/cache/2025jan/04/02/3157374_47637-710x550x.jpg
Шоколадно-кокосовый мусс,https://www.povarenok.ru/recipes/show/182151/,,,,https://www.povarenok.ru/data/cache/2024dec/27/08/3156213_79641-710x550x.jpg
"Салат ""Манон""",https://www.povarenok.ru/recipes/show/182189/,,,,https://www.povarenok.ru/data/cache/2025jan/03/04/3157111_16791-710x550x.jpg
"Рулет из индейки, риса и шпината",https://www.povarenok.ru/recipes/show/182236/,,,,https://www.povarenok.ru/data/cache/2025jan/09/44/3158414_17414-710x550x.jpg
"Салат-закуска ""Зимняя сказка""",https://www.povarenok.ru/recipes/show/182261/,,,,https://www.povarenok.ru/data/cache/2025jan/12/27/3159128_82495-710x550x.jpg
Буженина из индейки в соусе,https://www.povarenok.ru/recipes/show/182174/,,,,https://www.povarenok.ru/data/cache/2024dec/31/18/3156677_51942-710x550x.jpg
"Свинина, тушеная со свеклой",https://www.povarenok.ru/recipes/show/182295/,,,,https://www.povarenok.ru/data/cache/2025jan/20/01/3160492_65023-710x550x.jpg
Новогодний салат с варено копченой индейкой,https://www.povarenok.ru/recipes/show/182153/,,,,https://www.povarenok.ru/data/cache/2024dec/28/35/3156265_31829-710x550x.jpg
Рулет со шпинатом,https://www.povarenok.ru/recipes/show/182182/,,,,https://www.povarenok.ru/data/cache/2025jan/01/51/3156862_94715-710x550x.jpg
"Салат ""Покоритель сердец""",https://www.povarenok.ru/recipes/show/182242/,,,,https://www.povarenok.ru/data/cache/2025jan/09/23/3158561_57385-710x550x.jpg
"Торт ""Тирамису"" без выпечки",https://www.povarenok.ru/recipes/show/182193/,,,,https://www.povarenok.ru/data/cache/2025jan/03/57/3157180_43760-710x550x.jpg
Творожно-кокосовый десерт с манго,https://www.povarenok.ru/recipes/show/182179/,,,,https://www.povarenok.ru/data/cache/2024dec/31/55/3156664_41333-710x550x.jpg
"Баклажан, тушёный в остром соусе",https://www.povarenok.ru/recipes/show/182149/,,,,https://www.povarenok.ru/data/cache/2024dec/27/58/3156133_50339-710x550x.jpg
Курица по-венгерски,https://www.povarenok.ru/recipes/show/182298/,,,,https://www.povarenok.ru/data/cache/2025jan/21/34/3160646_21603-710x550x.jpg
Банановый смузи с овсяными хлопьями,https://www.povarenok.ru/recipes/show/182194/,,,,https://www.povarenok.ru/data/cache/2025jan/03/18/3157217_27956-710x550x.jpg
Новогодний салат с ананасами и индейкой,https://www.povarenok.ru/recipes/show/182205/,,,,https://www.povarenok.ru/data/cache/2025jan/04/42/3157436_99485-710x550x.jpg
Картофельные пончики с моцареллой,https://www.povarenok.ru/recipes/show/182257/,,,,https://www.povarenok.ru/data/cache/2025jan/11/25/3158983_17465-710x550x.jpg
Творожные ватрушки на творожном тесте,https://www.povarenok.ru/recipes/show/182287/,,,,https://www.povarenok.ru/data/cache/2025jan/18/52/3160251_46145-710x550x.jpg
Мини пиццы на творожной основе,https://www.povarenok.ru/recipes/show/182211/,,,,https://www.povarenok.ru/data/cache/2025jan/05/56/3157677_98468-710x550x.jpg
Гречаники с индейкой в соусе,https://www.povarenok.ru/recipes/show/182231/,,,,https://www.povarenok.ru/data/cache/2025jan/08/51/3158282_32938-710x550x.jpg
Домашний паштет из печени индейки,https://www.povarenok.ru/recipes/show/182180/,,,,https://www.povarenok.ru/data/cache/2025jan/01/00/3156865_25720-710x550x.jpg
Филе индейки под шубкой,https://www.povarenok.ru/recipes/show/182209/,,,,https://www.povarenok.ru/data/cache/2025jan/05/57/3157641_55068-710x550x.jpg
Пряная закуска из лука,https://www.povarenok.ru/recipes/show/182163/,,,,https://www.povarenok.ru/data/cache/2024dec/29/44/3156432_57672-710x550x.jpg
Креветки в шампанском,https://www.povarenok.ru/recipes/show/182175/,,,,https://www.povarenok.ru/data/cache/2024dec/30/31/3156630_72363-710x550x.jpg
Котлеты по-киевски к Рождеству,https://www.povarenok.ru/recipes/show/182226/,,,,https://www.povarenok.ru/data/cache/2025jan/07/33/3158196_73306-710x550x.jpg
Веганский плов с сухофруктами,https://www.povarenok.ru/recipes/show/182290/,,,,https://www.povarenok.ru/data/cache/2025jan/19/04/3160318_30224-710x550x.jpg
Кабачково-луковые лепёшки на сковороде,https://www.povarenok.ru/recipes/show/182247/,,,,https://www.povarenok.ru/data/cache/2025jan/10/35/3158682_28903-710x550x.jpg
Блинные конвертики с индейкой и картофелем,https://www.povarenok.ru/recipes/show/182208/,,,,https://www.povarenok.ru/data/cache/2025jan/05/02/3157598_92379-710x550x.jpg
Филе грудки индейки в апельсиновом соусе,https://www.povarenok.ru/recipes/show/182215/,,,,https://www.povarenok.ru/data/cache/2025jan/04/28/3157472_64622-710x550x.jpg
Новогодний салат мандариновый с сыровяленой индейкой,https://www.povarenok.ru/recipes/show/182172/,,,,https://www.povarenok.ru/data/cache/2024dec/30/11/3156610_58156-710x550x.jpg
Салат из мидий,https://www.povarenok.ru/recipes/show/182283/,,,,https://www.povarenok.ru/data/cache/2025jan/17/35/3160083_85284-710x550x.jpg
"Закуска ""Ёлочные шары""",https://www.povarenok.ru/recipes/show/182241/,,,,https://www.povarenok.ru/data/cache/2025jan/10/27/3158640_77567-710x550x.jpg
"Самса ""Тюльпан""",https://www.povarenok.ru/recipes/show/182248/,,,,https://www.povarenok.ru/data/cache/2025jan/10/21/3158738_26099-710x550x.jpg
Полезный майонез из варёных яиц,https://www.povarenok.ru/recipes/show/182213/,,,,https://www.povarenok.ru/data/cache/2025jan/06/02/3157754_69763-710x550x.jpg
"Спагетти с тофу, чесноком и лимоном",https://www.povarenok.ru/recipes/show/182166/,,,,https://www.povarenok.ru/data/cache/2024dec/29/45/3156443_88243-710x550x.jpg
"Салат послепраздничный ""Застольный""",https://www.povarenok.ru/recipes/show/182201/,,,,https://www.povarenok.ru/data/cache/2025jan/04/29/3157349_72970-710x550x.jpg
Сэндвичи из крекеров с ветчиной,https://www.povarenok.ru/recipes/show/182268/,,,,https://www.povarenok.ru/data/cache/2025jan/12/32/3159326_87301-710x550x.jpg
"Запеченный сыр ""Камамбер"" с багетом",https://www.povarenok.ru/recipes/show/182254/,,,,https://www.povarenok.ru/data/cache/2025jan/11/09/3158907_79080-710x550x.jpg
Салат с ветчиной и каперсами,https://www.povarenok.ru/recipes/show/182233/,,,,https://www.povarenok.ru/data/cache/2025jan/07/05/3158058_16757-710x550x.jpg
Кабачковые такос с индейкой,https://www.povarenok.ru/recipes/show/182260/,,,,https://www.povarenok.ru/data/cache/2025jan/12/02/3159103_12683-710x550x.jpg
Закусочный мильфей из яблок с печенью,https://www.povarenok.ru/recipes/show/182249/,,,,https://www.povarenok.ru/data/cache/2025jan/11/02/3158784_19843-710x550x.jpg
"""Вкусные ложки"" со свеклой и авокадо",https://www.povarenok.ru/recipes/show/182186/,,,,https://www.povarenok.ru/data/cache/2025jan/01/09/3156908_62308-710x550x.jpg
"Салат ""Сытое Застолье""",https://www.povarenok.ru/recipes/show/182227/,,,,https://www.povarenok.ru/data/cache/2025jan/07/31/3158120_95317-710x550x.jpg
"Горячее с индейкой ""Королевское блюдо""",https://www.povarenok.ru/recipes/show/182255/,,,,https://www.povarenok.ru/data/cache/2025jan/11/18/3158923_60475-710x550x.jpg
Пирог с колбасками и творожным сыром,https://www.povarenok.ru/recipes/show/182266/,,,,https://www.povarenok.ru/data/cache/2025jan/12/51/3159307_50603-710x550x.jpg
Вкусный и полезный салат,https://www.povarenok.ru/recipes/show/182225/,,,,https://www.povarenok.ru/data/cache/2025jan/07/22/3158150_45049-710x550x.jpg
"Салат рождественский ""Золотое полено""",https://www.povarenok.ru/recipes/show/182221/,,,,https://www.povarenok.ru/data/cache/2025jan/06/51/3157809_93361-710x550x.jpg
Пирог с тефтелями и сыром,https://www.povarenok.ru/recipes/show/182265/,,,,https://www.povarenok.ru/data/cache/2025jan/12/39/3159274_73104-710x550x.jpg
Блинный торт,https://www.povarenok.ru/recipes/show/182204/,,,,https://www.povarenok.ru/data/cache/2025jan/03/04/3157199_30083-710x550x.jpg
Капустный салат с индейкой и блинчиками,https://www.povarenok.ru/recipes/show/182169/,,,,https://www.povarenok.ru/data/cache/2024dec/29/43/3156510_73971-710x550x.jpg
Полпеттоне из индейки,https://www.povarenok.ru/recipes/show/182159/,,,,https://www.povarenok.ru/data/cache/2024dec/29/01/3156385_31074-710x550x.jpg
Салат из трёх ингредиентов,https://www.povarenok.ru/recipes/show/182195/,,,,https://www.povarenok.ru/data/cache/2025jan/03/58/3157242_53902-710x550x.jpg
Огуречный салат с сыровяленой индейкой,https://www.povarenok.ru/recipes/show/182238/,,,,https://www.povarenok.ru/data/cache/2025jan/09/55/3158458_68264-710x550x.jpg
Оладьи с рикоттой и брусникой,https://www.povarenok.ru/recipes/show/182291/,,,,https://www.povarenok.ru/data/cache/2025jan/19/19/3160324_67199-710x550x.jpg
"Салат ""Сказочный""",https://www.povarenok.ru/recipes/show/182177/,,,,https://www.povarenok.ru/data/cache/2024dec/31/31/3156725_36722-710x550x.jpg
